fast,slow,atr,total_return,total_trades,win_rate,final_equity
11,40,0.002,0.2695824390121564,6,0.8333333333333334,1.2695824390121564
11,40,0.003,0.2695824390121564,6,0.8333333333333334,1.2695824390121564
11,40,0.005,0.2695824390121564,6,0.8333333333333334,1.2695824390121564
11,40,0.008,0.2695824390121564,6,0.8333333333333334,1.2695824390121564
11,40,0.01,0.2695824390121564,6,0.8333333333333334,1.2695824390121564
11,40,0.015,0.2695824390121564,6,0.8333333333333334,1.2695824390121564
11,40,0.02,0.2695824390121564,6,0.8333333333333334,1.2695824390121564
5,25,0.0,0.25994194573976803,12,0.3333333333333333,1.259941945739768
5,25,0.001,0.25994194573976803,12,0.3333333333333333,1.259941945739768
5,25,0.002,0.25994194573976803,12,0.3333333333333333,1.259941945739768
5,25,0.003,0.25994194573976803,12,0.3333333333333333,1.259941945739768
5,25,0.005,0.25994194573976803,12,0.3333333333333333,1.259941945739768
5,25,0.008,0.25994194573976803,12,0.3333333333333333,1.259941945739768
5,25,0.01,0.25994194573976803,12,0.3333333333333333,1.259941945739768
5,25,0.015,0.25994194573976803,12,0.3333333333333333,1.259941945739768
5,25,0.02,0.25994194573976803,12,0.3333333333333333,1.259941945739768
3,25,0.0,0.2598924299592327,16,0.3125,1.2598924299592327
3,25,0.001,0.2598924299592327,16,0.3125,1.2598924299592327
3,25,0.002,0.2598924299592327,16,0.3125,1.2598924299592327
3,25,0.003,0.2598924299592327,16,0.3125,1.2598924299592327
3,25,0.005,0.2598924299592327,16,0.3125,1.2598924299592327
3,25,0.008,0.2598924299592327,16,0.3125,1.2598924299592327
3,25,0.01,0.2598924299592327,16,0.3125,1.2598924299592327
3,25,0.015,0.2598924299592327,16,0.3125,1.2598924299592327
3,25,0.02,0.2598924299592327,16,0.3125,1.2598924299592327
7,55,0.0,0.2537034167521406,5,0.6,1.2537034167521406
7,55,0.001,0.2537034167521406,5,0.6,1.2537034167521406
7,55,0.002,0.2537034167521406,5,0.6,1.2537034167521406
7,55,0.003,0.2537034167521406,5,0.6,1.2537034167521406
7,55,0.005,0.2537034167521406,5,0.6,1.2537034167521406
7,55,0.008,0.2537034167521406,5,0.6,1.2537034167521406
7,55,0.01,0.2537034167521406,5,0.6,1.2537034167521406
7,55,0.015,0.2537034167521406,5,0.6,1.2537034167521406
7,55,0.02,0.2537034167521406,5,0.6,1.2537034167521406
23,25,0.0,0.25240492583063356,14,0.42857142857142855,1.2524049258306336
23,25,0.001,0.25240492583063356,14,0.42857142857142855,1.2524049258306336
23,25,0.002,0.25240492583063356,14,0.42857142857142855,1.2524049258306336
23,25,0.003,0.25240492583063356,14,0.42857142857142855,1.2524049258306336
23,25,0.005,0.25240492583063356,14,0.42857142857142855,1.2524049258306336
23,25,0.008,0.25240492583063356,14,0.42857142857142855,1.2524049258306336
23,25,0.01,0.25240492583063356,14,0.42857142857142855,1.2524049258306336
23,25,0.015,0.25240492583063356,14,0.42857142857142855,1.2524049258306336
23,25,0.02,0.25240492583063356,14,0.42857142857142855,1.2524049258306336
7,15,0.0,0.24551105868823786,16,0.4375,1.2455110586882379
7,15,0.001,0.24551105868823786,16,0.4375,1.2455110586882379
7,15,0.002,0.24551105868823786,16,0.4375,1.2455110586882379
7,15,0.003,0.24551105868823786,16,0.4375,1.2455110586882379
7,15,0.005,0.24551105868823786,16,0.4375,1.2455110586882379
7,15,0.008,0.24551105868823786,16,0.4375,1.2455110586882379
7,15,0.01,0.24551105868823786,16,0.4375,1.2455110586882379
7,15,0.015,0.24551105868823786,16,0.4375,1.2455110586882379
7,15,0.02,0.24551105868823786,16,0.4375,1.2455110586882379
11,45,0.0,0.24205795146155595,5,0.8,1.242057951461556
11,45,0.001,0.24205795146155595,5,0.8,1.242057951461556
11,45,0.002,0.24205795146155595,5,0.8,1.242057951461556
11,45,0.003,0.24205795146155595,5,0.8,1.242057951461556
11,45,0.005,0.24205795146155595,5,0.8,1.242057951461556
11,45,0.008,0.24205795146155595,5,0.8,1.242057951461556
11,45,0.01,0.24205795146155595,5,0.8,1.242057951461556
11,45,0.015,0.24205795146155595,5,0.8,1.242057951461556
11,45,0.02,0.24205795146155595,5,0.8,1.242057951461556
9,40,0.0,0.23559733815806205,6,0.8333333333333334,1.235597338158062
9,40,0.001,0.23559733815806205,6,0.8333333333333334,1.235597338158062
9,40,0.002,0.23559733815806205,6,0.8333333333333334,1.235597338158062
9,40,0.003,0.23559733815806205,6,0.8333333333333334,1.235597338158062
9,40,0.005,0.23559733815806205,6,0.8333333333333334,1.235597338158062
9,40,0.008,0.23559733815806205,6,0.8333333333333334,1.235597338158062
